2022-05-17 17:05:862 INFO  HomePage :28 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (173fd53e6253e0fe706881be902f7e19)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 17:05:926 INFO  SignInPage :61 - Enter email[[ChromeDriver: chrome on WINDOWS (173fd53e6253e0fe706881be902f7e19)] -> id: email]
2022-05-17 17:05:983 INFO  SignInPage :65 - Enter password[[ChromeDriver: chrome on WINDOWS (173fd53e6253e0fe706881be902f7e19)] -> id: passwd]
2022-05-17 17:05:07 INFO  SignInPage :53 - Click on signin button[[ChromeDriver: chrome on WINDOWS (173fd53e6253e0fe706881be902f7e19)] -> xpath: //button[@name='SubmitLogin']]
2022-05-17 17:05:39 INFO  SignInPage :69 - Get error Message[[ChromeDriver: chrome on WINDOWS (173fd53e6253e0fe706881be902f7e19)] -> xpath: //div[@class='alert alert-danger']//ol]
2022-05-17 17:05:712 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 17:05:451 INFO  HomePage :28 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (8996f1a94fcf03a231d2817ce9e4814c)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 17:05:510 INFO  SignInPage :61 - Enter email[[ChromeDriver: chrome on WINDOWS (8996f1a94fcf03a231d2817ce9e4814c)] -> id: email]
2022-05-17 17:05:579 INFO  SignInPage :65 - Enter password[[ChromeDriver: chrome on WINDOWS (8996f1a94fcf03a231d2817ce9e4814c)] -> id: passwd]
2022-05-17 17:05:810 INFO  SignInPage :53 - Click on signin button[[ChromeDriver: chrome on WINDOWS (8996f1a94fcf03a231d2817ce9e4814c)] -> xpath: //button[@name='SubmitLogin']]
2022-05-17 17:05:837 INFO  SignInPage :69 - Get error Message[[ChromeDriver: chrome on WINDOWS (8996f1a94fcf03a231d2817ce9e4814c)] -> xpath: //div[@class='alert alert-danger']//ol]
2022-05-17 17:05:498 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 17:05:713 INFO  HomePage :28 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (cd82c7a289b93e27e7e117002beb7533)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 17:05:777 INFO  SignInPage :61 - Enter email[[ChromeDriver: chrome on WINDOWS (cd82c7a289b93e27e7e117002beb7533)] -> id: email]
2022-05-17 17:05:837 INFO  SignInPage :65 - Enter password[[ChromeDriver: chrome on WINDOWS (cd82c7a289b93e27e7e117002beb7533)] -> id: passwd]
2022-05-17 17:05:997 INFO  SignInPage :53 - Click on signin button[[ChromeDriver: chrome on WINDOWS (cd82c7a289b93e27e7e117002beb7533)] -> xpath: //button[@name='SubmitLogin']]
2022-05-17 17:05:28 INFO  SignInPage :69 - Get error Message[[ChromeDriver: chrome on WINDOWS (cd82c7a289b93e27e7e117002beb7533)] -> xpath: //div[@class='alert alert-danger']//ol]
2022-05-17 18:05:558 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 18:05:976 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 18:05:764 INFO  HomePage :36 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (21e6244ba20d2922e59cf422891ed126)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 18:05:428 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-17 18:05:560 INFO  HomePage :36 - Click n Signin link[[ChromeDriver: chrome on WINDOWS (5dd1acbc452f32f77b51b70c19fc71e9)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-17 18:05:634 INFO  SignInPage :65 - Enter email[[ChromeDriver: chrome on WINDOWS (5dd1acbc452f32f77b51b70c19fc71e9)] -> id: email]
